name,address,website,tel
,"53 West Nile Street, GLASGOW, G1 2QB",,0141 248 6639
,"44 George Square, GLASGOW, G2 1DS",http://www.costa.co.uk,
,"67, Glasgow, G2 5TF",http://www.costa.co.uk,0141 847 0710
,"140 Sauchiehall Street, GLASGOW, G2 3DH",,0141 332 9495
,"Buchanan Street, GLASGOW, G1 2FF",http://www.fueljuicebars.com,0141 332 3652
,"Glasgow West Nile St, 58 Nelson Mandela Square, Glasgow, G1 2NP",http://www.starbucks.co.uk,0141 221 0302
,"140 Sauchiehall Street, Glasgow, G2 3DH",,0141 332 9495
,"Glasgow Royal Exchange, Glasgow, G1 3AB",http://www.costa.co.uk,0141 229 0773
,"28 West Nile St, Glasgow, G1 2PF",http://www.greggs.co.uk,0141 221 6224
,"131 Sauchiehall St, Glasgow, G2 3EW",http://www.chatimeuk.com,07986 008021
,"136-140 Buchanan St, Glasgow, G1 2JA",http://www.starbucks.co.uk,0141 221 8348
,"97 Buchanan St, Glasgow, G2 3EX",http://www.rmghotels.com,0141 204 5242
,"315-317 Sauchiehall St, Glasgow, G2 3HW",http://www.icafe.uk.com,0141 353 1553
,"13 George Square, Glasgow, G2 1DY",http://www.greggs.co.uk,0141 221 0950
,"24 Gordon St, Glasgow, G1 3PU",,0141 204 4762
,"106 Union St, Glasgow, G1 3QW",http://www.caffenero.com,0141 248 1960
,"Buchanan Street, GLASGOW, G1 2FF",http://www.johnlewis.com,0844 693 1741
,"64 Gordon St, Glasgow, G1 3RS",http://www.greggs.co.uk,0141 204 2101
,"144-146 Queen St, Glasgow, G1 3BS",https://locations.pret.co.uk/glasgow/144-146-queen-street,0141 221 7602
,"59 Port Dundas Rd, Glasgow, G4 0HF",https://www.facebook.com/lasandwicherieglasgow,0141 353 3853
,"222 West George St, Glasgow, G2 2PQ",http://caffecalla.co.uk,0141 229 2222
,"104 St Vincent St, Glasgow, G2 5UB",https://www.pret.co.uk/en-GB,020 7932 5315
,"97 Buchanan St, Glasgow, G2 3EX",http://www.willowtearooms.co.uk,0141 204 5242
,"140 Sauchiehall Street, GLASGOW, G2 3DH",,0141 331 0212
,"Mcintyre Hogg Building, Unit 4 Ingram St, Glasgow, G1 1EJ",https://tinderboxespresso.com/espresso-bars/,0141 552 6907
,"Buchanan Street, GLASGOW, G1 3JN",,0141 248 6257
,"130 West Regent Street, GLASGOW, G2 2RQ",http://www.kcalkitchen.co.uk,
,"182 West Regent St, Glasgow, G2 4RU",http://www.monkeysleeps.com,0141 226 3406
,"Unit 3, 78, Queen St, Glasgow, G1 3DN",http://www.caffenero.com,0141 222 2450
,"West Nile St, Glasgow, G1 2PS",http://www.patisserie-valerie.co.uk,0141 204 3807
,"Sauchiehall Centre, 197 Sauchiehall St, Glasgow, G2 3ER",http://www.greggs.co.uk,0141 353 2075
,"9 Exchange Place, Glasgow, G1 3AN",http://www.starbucks.co.uk,0141 881 9425
,"42 Buchanan Street, Glasgow, G1 3JX",https://www.hotelchocolat.com/,0141 204 4193
,"Unit 2 Buchanon Galleries, Glasgow, G2 3GF",http://www.eat.co.uk,0141 353 6584
,"24-28 Bothwell Street, GLASGOW, G2 6NU",,
,"51 Cochrane St, Glasgow, G1 1HL",http://www.facebook.com/theweeguys,0141 552 5338
,"30 Wilson St, Glasgow, G1 1SS",https://www.facebook.com/cranberrysofglasgow,0141 552 3676
,"Unit 10-11 Princes Square 48, Buchanan St, Glasgow, G1 3JN",https://tinderboxespresso.com/espresso-bars/,0141 221 5557
,"Fleming House, 134, Renfrew St, Glasgow, G3 6ST",http://www.theprojectcafe.co.uk,0141 332 9520
,"208-212, Glasgow, G2 3EF",http://www.costa.co.uk,0141 352 9825
,"26 Gordon Street, GLASGOW, G1 3PW",,0141 204 5459
,"House Of Fraser 45 Buchanan St, Glasgow, G1 3HL",http://www.caffenero.com,0141 221 2411
,"Princes Square Buchanan St, Glasgow, G1 3JN",http://www.cranachancafe.co.uk,0141 248 6257
,"71 Union St, Glasgow, G1 3TA",,0141 248 5090
,"207 Sauchiehall St, Glasgow, G2 3EX",http://www.caffenero.com,0141 332 4590
,"151 Bath St, Glasgow, G2 4SQ",http://www.thebutterflyandthepig.com,0141 243 2459
,"Glasgow Central Station, 79 Gordon St, Glasgow, G1 3SL",http://www.gordonstcoffee.co.uk/,0141 221 1367
,"100 George St, Glasgow, G1 1RF",http://www.greggs.co.uk,0141 548 6796
,"65-67 Cambridge Street, Kelvingrove, GLASGOW, G3 6QX",,
,"59 Cambridge Street, Kelvingrove, GLASGOW, G3 6QX",,0141 261 2842
,"Glasgow Central Station, 1 Gordon St, Glasgow, G1 3SL",http://www.starbucks.co.uk,0141 204 3497
,"81 Cambridge Street, Kelvingrove, GLASGOW, G3 6RU",,0141 237 2202
,"Queen Street, GLASGOW, G1 2AG",http://www.starbucks.co.uk,0141 333 9419
,"174-176 Argyle Street, Glasgow, G2 8BT",https://www.waterstones.com,0141 248 4814
,"63 Union St, Glasgow, G1 3RB",https://geek-retreat.com/,0141 611 8229
,"14 Waterloo Street, GLASGOW, G2 6DB",,
,"St Vincent Plaza, 319 St Vincent St, Glasgow, G2 6LL",http://www.caffenero.co.uk,0141 249 9832
,"27 Gordon St, Glasgow, G1 3PL",https://locations.pret.co.uk/glasgow/27-gordon-street,01923 805285
,"The Concourse, Unit 6 & 7, Gordon St, Glasgow, G1 3SL",http://www.pret.com,0141 221 7331
,"65 Cambridge St, Glasgow, G3 6QX",https://www.facebook.com/bucketlistcafeglasgow,0141 261 2842
,"59 Cambridge Street, Kelvingrove, GLASGOW, G3 6QX",,0141 230 3248
,"19 Kennedy Path, Glasgow, G4 0PP",,07477 488436
,"33 Glassford Street, Glasgow, G1 1UG",,0141548 1340
,"50 Hope Street, GLASGOW, G2 6AE",,0141 240 3700
,"33 Glassford Street, GLASGOW, G1 1UG",,0141 548 1340
,"19 Cambridge St, Glasgow, G2 3DX",http://www.greggs.co.uk,0141 332 4493
,"200 Albion Street, GLASGOW, G1 1RU",,
,"207 Sauchiehall St, Glasgow, G2 3EX",http://www.caffenero.co.uk,0141 222 2372
,"207 Sauchiehall St, Glasgow, G2 3EX",http://www.caffenero.co.uk,0141 248 6895
,"46 Trongate, Glasgow, G1 5ES",http://www.spooncommunity.co.uk,0141 559 5515
,"103 Ingram Street, Glasgow, G1 1DX",,0141552 8788
,"172 Argyle St, Glasgow, G2 8BU",http://www.greggs.co.uk,0141 221 0252
,"127 Candleriggs, GLASGOW, G1 1NP",http://www.spitfireespresso.com,
,"103 Ingram Street, GLASGOW, G1 1DX",,
,"58 West Campbell Street, Glasgow, G2 6PZ",,0141229 0130
,"6 Wilson St, Glasgow, G1 1SS",http://wilsonstreetpantry.com/,0141 552 0606
,"Central Railway Station, Gordon St, Glasgow, G1 3PL",http://www.delicedefrance.co.uk,0141 229 1062
,"121 Douglas Street, GLASGOW, G2 4HF",,0141 387 8184
,"St Enoch Centre, Glasgow, G1 4BW",http://www.starbucks.co.uk,0333 005 0449
,"33 Bothwell St, Glasgow, G2 6NL",http://www.starbucks.co.uk,0141 221 4461
,"43 Virginia Street, GLASGOW, G1 3JN",http://www.cuptearooms.co.uk,0141 553 2326
,"96 George Street, GLASGOW, G1 1RF",http://www.timhortons.com/us/en/index.php,
,"146 Bath Lane, Glasgow, G2 4RH",,0141328 4053
,"Unit 4-5 Caledonia Centre, Glasgow, G1 3SQ",http://www.costa.co.uk,0141 221 1471
,"245 Argyle Street, GLASGOW, G2 8DL",,0141 221 3582
,"Unit 4, 35, Virginia St, Glasgow, G1 1TN",http://www.cuptearooms.co.uk,0141 553 2326
,"63 Argyle St Fermanagh, Glasgow, G2 8AH",http://www.caffenero.com,0141 221 0924
,"The Ticket Office, St. Enoch's Square, Glasgow, G1 4BW",http://www.caffenero.com,0141 248 8838
,"65-69 Bothwell St, Glasgow, G2 6TS",https://locations.pret.co.uk/glasgow/65-69-bothwell-street,0141 248 6335
,"279 Sauchiehall St, Glasgow, G2 3HQ",http://www.greggs.co.uk,0141 332 8983
,"Argyle Street, Glasgow, G2 8DL",,0141 221 3582
,"Debenhams 97 Argyle St, Glasgow, G2 8AR",http://www.costa.co.uk,0141 847 0629
,"86 Albion Street, Glasgow, G1 1NY",,0141552 3044
,"Gordon Street, Glasgow, G1 3SQ",http://amtcoffee.co.uk/,020 8832 8630
,"63 Argyle Street, GLASGOW, G2 8AH",,0141 221 0924
,"Gordon Street, Glasgow, G1 3SQ",https://www.costa.co.uk,0141 229 0771
,"St Enoch Square, GLASGOW, G1 4BW",,
,"2 Castle St, Glasgow, G4 0RH",http://www.glasgowmuseums.com,0141 276 1625
,"10 King Street, Glasgow, G1 5QP",,0141553 0733
,"St Enochs Square 55, Glasgow, G1 4BW",http://www.greggs.co.uk,0141 248 9284
,"328 Argyle St, Glasgow, G2 8LY",http://www.julescafe.co.uk,0141 248 1551
,"273 Sauchiehall Street, GLASGOW, G2 3HQ",,0141 353 3901
,"23 Stockwell Street, GLASGOW, G1 4RZ",,0141 378 1411
,"23 Stockwell St, Glasgow, G1 4RZ",http://www.tripletwocoffee.com/ourlocations/glasgow/,0141 552 2014
,"220 High St, Glasgow, G4 0QW",,0141 287 9868
,"Unit 233, Glasgow, G1 4BW",http://www.costa.co.uk,0141 248 6796
,"340 Argyle Street, Glasgow, G2 8LY",http://www.monkeysleeps.com,0141 204 5260
,"85 High Street, Glasgow, G1 1NB",https://www.facebook.com/thechimneycakecorporation,0141 553 2487
,"60 Osborne St, Glasgow, G1 5QH",http://www.allthatissolid.co.uk,0141 271 4777
,"138 Saltmarket, Townhead, GLASGOW, G1 5LB",,0141 552 3619
,"361 Argyle Street, Glasgow, G2 8LT",,0141221 3233
,"2 Trongate, Glasgow, G1 5ES",http://www.purrplecatcafe.com,0141 552 6429
,"Capella Atlantic Quay 60 York St, Glasgow, G2 8JX",http://www.caffenero.co.uk,0141 221 2735
,"274 High Street, Cowcaddens, GLASGOW, G4 0QT",http://www.papercupcoffee.co.uk,07719 454376
,"310 St. Vincent Street, Glasgow, G2 5RG",https://www.coffeerepublic.co.uk,0141 248 5729
,"278 St Vincent St, Glasgow, G2 5RL",http://www.278coffeehouse.co.uk/home,0141 222 2750
,"114-116 Waterloo Street, GLASGOW, G2 7DN",https://tinderboxespresso.com/espresso-bars/,
,"Unit 26, Caledonia Centre Central Station, Glasgow, G1 3SQ",http://www.patisserie-valerie.co.uk,0141 204 3808
,"52 Broomielaw, Glasgow, G1 4QN",,0141258 1511
,"27 Trongate, Glasgow, G1 5EZ",http://www.roseandgrants.co.uk,0141 553 0501
,"27 Saltmarket, Glasgow, G1 5NA",,0141 552 1719
,"213 Gallowgate, Townhead, GLASGOW, G1 5DX",,
,"46 Gallowgate, Townhead, GLASGOW, G1 5AB",,0141 552 2567
,"St. Vincent Street, Glasgow, G2 5RG",http://www.caffenero.co.uk,0141 248 6895
,"25 Parnie St, Glasgow, G1 5RJ",http://www.transeuropecafe.co.uk,0141 552 7999
,"73-77 Trongate, Townhead, GLASGOW, G1 5HB",,0141 230 0683
,"50 Broomielaw, Glasgow, G1 4RJ",,0141 222 2764
,"3-5 Duke St, Glasgow, G4 0UL",http://www.mccunesmith.co.uk,0141 548 1114
,"263 Renfrew St, Glasgow, G3 6TT",http://www.thesingl-end.co.uk,0141 353 1277
,"24 St. Andrews St, Glasgow, G1 5PD",,0141 552 9333
,"50 Broomielaw, GLASGOW, G1 4RJ",,0141 258 1511
,"Elmbank Gardens, GLASGOW, G2 4NQ",,0141 221 1995
,"Craighall Business Park 2b, Eagle St, Glasgow, G4 9XA",,0141 333 0303
,"40-42 Woodlands Rd, Glasgow, G3 6UR",http://www.beanscene.co.uk,0141 352 9800
,"73 Berkeley St, Glasgow, G3 7DX",http://www.ottomancoffeehouse.co.uk,07768 312417
,"63 Elmbank St, Glasgow, G2 4PQ",,0141 333 1427
,"125 Bridgegate, Townhead, GLASGOW, G1 5HY",,07891 251963
,"22-26 Charing Cross Mansions, St Georges Road, Glasgow, G3 6UJ",,0141258 3540
,"200 Gallowgate, Glasgow, G1 5DR",http://www.creativeeastend.com,0141 552 2501
,"569 Sauchiehall St, Glasgow, G3 7PQ",http://www.bocadillo.co.uk,0141 221 0069
,"1 William Street, Glasgow, G3 8HT",,0141204 5506
,"93-97 St Georges Road, Glasgow, G3 6JA",,0141237 4515
,"10 St Georges Rd, Charing Cross Mansions, Glasgow, G3 6UJ",http://www.starbucks.co.uk,0141 332 7852
,"124 Woodlands Rd, Glasgow, G3 6HB",http://www.cafelapadella.co.uk,0141 332 6104
,"202 Gallowgate, Townhead, GLASGOW, G1 5DS",,
,"163 London Road, Townhead, GLASGOW, G1 5BX",,
,"93-97 St Georges Road, Kelvingrove, GLASGOW, G3 6JA",,0141 237 4515
,"99 Woodside Place Lane, Glasgow, G3 7RB",https://www.facebook.com/the-mews-330715153643449,0141 237 2981
,"531 Sauchiehall St, Glasgow, G3 7PQ",,0141 237 8320
,"93-97, St. Georges Rd, Glasgow, G3 6JA",,0141 237 4515
,"48 Clarendon Place, Glasgow, G20 7PZ",,0141 332 5996
,"531 Sauchiehall Street, Charing Cross, GLASGOW, G3 7PQ",,0141 237 3490
,"20-22 St Georges Road, Kelvingrove, GLASGOW, G3 6UJ",https://tinderboxespresso.com/espresso-bars/,0141 258 3540
,"326 St Georges Road, Kelvingrove, GLASGOW, G3 6JR",,
,"20-22 St Georges Road, Kelvingrove, GLASGOW, G3 6UJ",,0141 258 3540
,"14 Bain St, Glasgow, G40 2LA",https://www.facebook.com/pages/category/coffee-shop/rumbling-tum-105887307781018,0141 552 5150
,"51 Woodlands Road, Kelvingrove, GLASGOW, G3 6ED",,
,"239 London Road, GLASGOW, G40 1PE",,07928 428274
,"5 Barrack St Gallowgate, Glasgow, G4 0TZ",http://www.morrisons.com,0141 553 1516
,"The Adelphi Centre, 12, Commercial Rd, Glasgow, G5 0PQ",https://www.facebook.com/pages/category/restaurant/adelphi-tria-cafe-glasgow-509076055827855,0141 429 7795
,"91-93 Great Western Road, Port Dundas, GLASGOW, G4 9AH",,
